recordid,title,author,place,year,language,subject
19010068S00301,A way to get wealth- 5th ed,"Markham, Gervase",London,1631,English,Agriculture Agriculture
1.90E+13,"A way to get wealth, containing sixe principall vocations, for [!] callings, in which every good husband or huswife, may lawfully imploy themselves. The first five books gathered by G. M. The last by Master W.L. for the benefit of Great Brittain. The tenth time corrected, and augmented by the author","Markham, Gervase",London,1660,English,Agriculture Agriculture
1.90E+13,"A way to get wealth: containing sixe principall vocations or callings, in which every good husband or house-wife may lawfully imploy themselves. The first five bookes gathered by G. M. The last by Master W.L. for the benefit of Great Britaine. The sixt time corrected and augmented by the authour","Markham, Gervase",London,1638,English,Agriculture Agriculture
1.90E+13,"A way to get wealth. Containing six principal vocations, or callings, in which every good husband or house-wife may lawfully imploy themselves. The first five books gathered by G.M. The last by Master W.L. for the benefit of Great-Britain. The thirteenth time corrected, and augmented by the author","Markham, Gervase",London,1676,English,Agriculture Agriculture
19010079S00502,"Country Contentments: or the husbandmans recreations. Containing the wholesome experience, in which any ought to recreate himself, after the toyl of more serious business. As namely, hunting, hawking, coursing with grey-hounds, and the laws of leash, shooting in the long-bow or cross-bow, bowling, tennis, baloon; the whole art of angling; and the use of the fighting cock","Markham, Gervase",London,1656,English,Agriculture Agriculture
19010088S00502,"Country Contentments: or the husbandmans recreations. Containing the wholesome experience, in which any ought to recreate himself, after the toyl of more serious business. As namely, hunting, hawking, coursing with grey-hounds, and the laws of leash, shooting in the long-bow or cross-bow, bowling, tennis, baloon; the whole art of angling; and the use of the fighting cock","Markham, Gervase",London,1668,English,Agriculture Agriculture
19010068S00302,"Country Contentments: Or, The Husbandmans Recreations","Markham, Gervase",London,1631,English,Agriculture Agriculture
1.90E+13,"Markham's farewel to husbandry: or The enriching of all sorts of barren and sterile grounds in our nation, to be as fruitful in all manner of grain, pulse, and grass, as the best grounds whatsoever. Together with the annoyances and preservation of all grain and seed ... Now newly the eleventh time revis'd, corrected and amended, together with many new additions, and cheap experiments. For the bettering of arable pasture, and woody grounds","Markham, Gervase",London,1684,English,Agriculture Agriculture
19010070S00200,Markham's farewell to husbandry,"Markham, Gervase",London,1638,English,Agriculture Agriculture
1.90E+13,"Markham's farewell to Husbandry: or, the enriching of all sorts of barren and sterile grounds in our nation, to be as fruitfull in all manner of graine, pulse and grasse, as the best grounds whatsoever. Together with the annoyances, and preservation of all graine and seed, from one yeare to many yeares. As also, a husbandly computation of men and cattels dayly labours, their expences, charges, and utmost profits. Now newly the fifth time, revised, corrected, and amended, together with many new additions, and cheap experiments: for the bettering of arable, pasture, and woody grounds: of making good all grounds againe, spoyled with ever-flowing of salt water by sea-breaches; as also, the enriching of the hop-garden, and many other things never published before","Markham, Gervase",London,1653,English,Agriculture Agriculture
