name, birth_loc, pocc, marriage, lastname
Innes William,,,,William
Gray Alexander ,Scotland,,,Alexander
Cliffe William,,,,William
Rowland John ,,,,John
Smith Thomas ,,,,Thomas
Rowe George,,,,George
Warren John,,,,John
Russell Charles ,,,,Charles
Sweet John,,,,John
Dade Francis Turner , Gt Ryburgh Norfolk,,,Francis
Wilson Ralph,,,,Ralph
Holt Warner,,,,Warner
Crowther John,,,,John
Milburn Reginald,,,,Reginald
Richardson Philip,,,,Philip
Elles or Ellis Peter ,Scotland,,,or
Hay Hon James ,,,,Hon
Crichton James,,,,James
Anderton Robert,,,,Robert
Judd James,,,,James
Harris John,,,,John
Martin Michael,,,,Michael
Hebb John,,,,John
Stuart or Stewart John ,Scotland,,,or
Marquis Thomas , Cullen Banffshire,,m 27 Dec 1816 Berhampore= Louisa Parlby= Louisa Mary b 6 Oct & bap 3 Nov 1817 St Pancras= London Jessy b 30 May & bap 1 Jul 1820 Sheffield James b 5 Mar & bap 6 Apr 1824 St Pancras Caroline b 8 Jun & bap 8 Aug 1826 St Pancras Rose Hannah bap 30 Oct 1828 St Pancras,Thomas
Dennett Alexander,,,,Alexander
Harding Joseph,,,,Joseph
Skey George,,,,George
Keir William , Episcopal Chapel Blackfriars Wynd Edinburgh,esq,,William
Wellwood Henry ,,,,Henry
Baird James Maitland , Newbyth East Lothian,Esq,,James
Gillman Jermyn,,,,Jermyn
Howard John , New Brentford Middx,,,John
Eyles Thomas,,,,Thomas
Blackman Jeremy,,,,Jeremy
Harrington Joseph,,,,Joseph
Smyth Edmund,,,,Edmund
Tills John,,,,John
Wingrove John,,,,John
Hobcraft John,,,,John
Reddie John , Dysart Fife,,m Lavinia Salmon= Elizabeth b 20 Feb 1808= Andrew James b 7 Apr 1809= John Griffins b 21 Mar 1811= = Mary b 4 Jul 1812= Lavinia b 20 Jan 1814= Christian Hunt b 16 Jun 1821 1801_2,John
French Thomas,,,,Thomas
Carne John,,,,John
Westropp Edward,,,,Edward
Newman Samuel ,,,,Samuel
Peters William ,,,,William
Plomer or Plummer John,,,,or
Clark John,,,,John
Harle Charles,,,,Charles
Shewell Thomas,,,,Thomas
Partridge Edward,,,,Edward
Clarkson Joseph ,England,,,Joseph
Sanderson William,,,,William
Postlethwaite George,,,,George
Mackenzie Frederick,,,,Frederick
Agnew Robert , Craigs co Antrim,,,Robert
Michell Thomas,,,,Thomas
Wake Henry,,,,Henry
Wood James,,,,James
Swann William ,,,,William
Forbes Alexander,,,,Alexander
Fox Robert , St Anne's Lewisharn Kent,,,Robert
Utber Joseph ,,,,Joseph
Lamb William ,,,,William
Rose Joseph William,,,,Joseph
Page John,,,,John
Ardern Robert,,,,Robert
Hibbert Joseph , Bromley Kent,,,Joseph
Harrison Edward,,,,Edward
Smith Donald , Inverness,,,Donald
Webster Thomas ,,,,Thomas
Pratt George ,England,,,George
Dowson Joseph , Reigate Surrey,merchant,,Joseph
Colclough Thomas,,,,Thomas
Nixon Josiah,,,,Josiah
Carbal William,,,,William
Gay John ,,,,John
Dean George,,,,George
Williams William D ,,,,William
Wood Joseph , Weller Northumberland,,,Joseph
Mason Robert ,,,,Robert
Veal Thomas,,,,Thomas
Dennis John ,England,,,John
Dawes Daniel,,,,Daniel
Machell Robert,,,,Robert
Almes Thomas,,,,Thomas
Sherwood William,,,,William
Pickering John,,,,John
Hughes George,,,,George
Scott Thomas ,England,,,Thomas
Coxwell James , pa St George's Hanover Sq London,,,James
Nixon Thomas,,,,Thomas
Wilde John,,,,John
Hammond Anthony,,,,Anthony
Swinton William ,Scotland,,,William
Charlton George,,,,George
Wildy Thomas,,,,Thomas
Thompson Ambrose,,,,Ambrose
Edmond Thomas,,,,Thomas
Newnham Charles,,,,Charles
Vanderkisk Frederick,,,,Frederick
Clark Thomas,,,,Thomas
Maxwell Arthur ,,,,Arthur
Williams Ayliff,,,,Ayliff
Harton Thomas , Weybridge Surrey,,,Thomas
Nash Alexander, Kirkcudbright Forfar,,,Alexander
Addison Robert,,,,Robert
Frognall Phineas ,,,,Phineas
MacDonald John,,,,John
Knight Gilpin,,,,Gilpin
Christie Alexander ,,,,Alexander
Kesar Charles,,,,Charles
Gillies William ,,,,William
Beesley John,,,,John
Bonner Thomas,,,,Thomas
Majendie John William,,,,John
Grantham Sir Thomas,,,,Sir
Trist James,,,,James
Sanderson Bowater ,,,,Bowater
Thompson James ,St Dunstan's Stepney Middx,shipwright,,James
Dick William ,,,,William
Rowson James , England,,,James
Wray Christopher,,,,Christopher
Eyton William , Stanton_by_Dale Derbyshire,vicar,,William
Dalton James,,,,James
Bladwell _?_,,,,_?_
Kidsdale George WH,,,,George
Smith Timothy , St Marylebone London,,m 2 Jun 1821 Edmonton= Middx= Sarah Down Hammond= Sarah Mary Ann b 5 Mar 1822= Henry Hammond b 13 May 1824= Mary Pauline b 24 Jul 1827= William Joseph b 8 Apr 1829= Arthur b 15 Apr 1831= Anna b 10 Apr 1832,Timothy
Goulbourn Richard,,,,Richard
Chrystie Alexander , Newburn Fife,,m Anne= Margaret b 20 Oct 1828= John Alexander b 27 Jul 1830,Alexander
Hodson Thomas,,,,Thomas
Begbie John,,,,John
Potter John , ,,,John
Gaddis John,,,,John
Williamson Edward,,,,Edward
Packe Michael,,,,Michael
Law Alexander Watson ,,,m 12 Aug 1820 St Matthew's Friday St= London= Elizabeth Romanis Elizabeth Sarah b 5 May 1823; m 12 Aug 1820 St Matthew's Friday St= London Elizabeth Romanis; Elizabeth Sarah b 5 May 1823,Alexander
Watson James,,,,James
Towry Edward,,,,Edward
Wildy William,,,,William
Drummond David ,Scotland,,,David
Fullilove George,,,,George
Middleton John,,,,John
Allan John,,,,John
Dunne Richard,,,,Richard
Campbell John Norman , St Dunstan's Stepney London,mariner,,John
Martin Tutin ,,,,Tutin
Ransom Henry ,,,,Henry
Barlow John ,,,,John
White Charles , St Mary's Lambeth,,m Harriet,Charles
Dyer Patrick,,,,Patrick
Whitlatch Thomas,,,,Thomas
Miller John,,,,John
Wilson Thomas ,,,,Thomas
Peacock Edmund,,,,Edmund
Butcher John,,,,John
Phillips Silvanus ,,,,Silvanus
Dawkins Jeremiah , Llanelly Carmarthen,,,Jeremiah
Crook Charles,,,,Charles
Leigh Thomas Bradley , St Sepulchre's London,,m 31 Oct 1790 St Andrew's= Holbora= London= Elizabeth Lane,Thomas
Waller James,,,,James
Welch James,,,,James
Northwood John,,,,John
Parkinson John,,,,John
Milbank Robson ,,,,Robson
Pawson Francis Sedgewick,,,,Francis
Brothers Joseph,,,,Joseph
Pugh Charles Dally,,,,Charles
Utting Arthur , Earsham Norfolk,,,Arthur
Sherman Henry ,,,,Henry
Duffield Henry,,,,Henry
Pridham Delaun,,,,Delaun
Anett Richard,,,,Richard
Dott James,,,,James
McFarquhar John,,,,John
Gomond William,,,,William
Curtis John F,,,,John
Lane John,,,,John
Elliott Thomas,,,,Thomas
Baker Robert ,,,,Robert
Monarch Andrew,,,,Andrew
Hatchett Charles H,,,,Charles
Rowe John ,,,,John
Beale Daniel,,,,Daniel
Russell Gideon ,,,,Gideon
Cush Nathaniel ,,,,Nathaniel
Sparks Thomas,,,,Thomas
Prothero Philip,,,,Philip
Forrest James,,,,James
Drake Richard,,,,Richard
Plenderleath James ,,,,James
Buncombe Charles Thomas,,,,Charles
Bowers John Hope ,,,,John
Innes Robert,,,,Robert
Studholm William ,,,,William
Kingsford Henry,,,,Henry
Brooks Octavius , St Saviour's Southwark,,,Octavius
Drayner _?_,,,,_?_
Manderson John Rennie , Scotland,,m 11 Jul 1828 Prestonkirk= East Lothian= Margaret Rennie Robert b 30 Aug 1831 Prestonkirk George Rennie b 17 Feb 1834 Inveresk,John
Cox Thomas,,,,Thomas
Crowder William ,England,,,William
Mathews Henry,,,,Henry
Oswald William,,,,William
Cunningham William,,,,William
Mould John ,,,,John
Clitherow Henry,,,,Henry
Adams Robert,,,,Robert
Nicholls William,,,,William
Rowe Gilson,,,,Gilson
Budworth William ,England,,,William
Foote George,,,,George
Jardine George,,,,George
Eman Richard ,,,,Richard
Rawes Richard,,,,Richard
Tabor Robert , St Mary_at_Hill London,,,Robert
Young John William , Glasgow,,,John
Summers Henry,,,,Henry
Adair John ,Scotland,,,John
Sloane George,,,,George
Hawes Matthew,,,,Matthew
Bridge Henry ,,,,Henry
Stirling Alexander,,,,Alexander
Holloway William ,,,,William
Cornwall George,,,,George
Wingham George,,,,George
Rawdon Marmaduke,,,,Marmaduke
Stewart John,,,,John
Strong Thomas,,,,Thomas
Alexander Robert,,,,Robert
Brown William , Edinburgh,,,William
McCarty Jeremiah,,,,Jeremiah
Wilkins Charles ,,,,Charles
Newport Thomas,,,,Thomas
Cornish John,England,,,John
Gerrard or Gerard William ,,,,or
Bushby Joseph,,,,Joseph
Whitford Adam ,,,,Adam
Scrimsure Patrick,,,,Patrick
Romer Henry ,,,,Henry
Thurkell John Brookes , Pakefield Suffolk,,,John
Francis Thomas,,,,Thomas
Matthews Stephen ,,,,Stephen
Langdpn W,,,,W
Morris Joseph ,,,,Joseph
Gilmore Mungo,,,,Mungo
Mowll William , St Mary the Virgin Dover,,,William
Davis John ,,,,John
Stirling Archibald,,,,Archibald
Hoskins John ,,,,John
Wright Henry , St Pancras London,,,Henry
Eaton Henry,,,,Henry
McNae Samuel,,,,Samuel
Hallett Robert Thomas , St Margaret's Westminster,esq,,Robert
Sawyers J N,,,,J
North Arthur,,,,Arthur
Adams Roger ,,,,Roger
Hood Samuel,,,,Samuel
Suter Peter,,,,Peter
Barnsley George,,,,George
Telfer John Alexander , Broughton Edinburgh,,,John
Rees James ,,,,James
Graham Hemy , Lower Shannon co Cork,,,Hemy
Bayliff Thomas Gabriel , Lambeth,,,Thomas
Morpeth James,,,,James
Dowie James,,,,James
Bedford John,,,,John
Doverlea Jonathan,,,,Jonathan
Fye Francis,,,,Francis
Wallace John ,,,,John
McTaggart John,,,,John
Godfrey Edward,,,,Edward
Duncan Alexander,,,,Alexander
Rowe John,,,,John
Glenn Richard,,,,Richard
Harry Charles,,,,Charles
Hunter William , Scotland,,,William
Johnson Peter,,,,Peter
Clarke Richard,,,,Richard
Ashton William,,,,William
Campbell Colin,,,,Colin
Butler John , St Bartholomew Exchange London,,,John
Manning Richard,,,,Richard
Higgins Thomas,,,,Thomas
Hyde William,,,,William
Poynter James,,,,James
Shepherd John,,,,John
Claw William,,,,William
Foulerton Henry,,,,Henry
Grace Thomas ,,,,Thomas
Scallon John,,,,John
Tait James R,,,,James
Gardner Robert,,,,Robert
Stainforth George,,,,George
Keir Archibald,,,,Archibald
Jordan John,,,,John
Hutton Archibald,,,,Archibald
Shippey Abraham,,,,Abraham
Bleruierhasset J H,,,,J
Gardiner Arthur,,,,Arthur
Ward George,,,,George
Beaver Horatio , St Saviour's pa Norwich,,m Mary= 3 children= wid petitioned Poplar Fund 1812,Horatio
Dixon Thomas,,,,Thomas
Heming John,,,,John
Williams Charles,,,,Charles
Bossens Samuel,,,,Samuel
Christian Edward,,,,Edward
Setree William James,,,,William
Weeks William,,,,William
Sax John,,,,John
Babham William ,,,,William
Watt James,,,,James
Dallas James,,,,James
Lamb John,,,,John
Pennington Charles , Ashburnham Sussex,,,Charles
Shillito Ephraim,,,,Ephraim
Ford John,,,,John
Wall Sherman,,,,Sherman
Baird Andrew ,,,,Andrew
Hart Tristram,,,,Tristram
Cunningham H M,,,,H
Hulke Benjamin,,,,Benjamin
Wellard Charles,,,,Charles
Heslop Alexander,,,,Alexander
Gilchrist John,,,,John
Fraser William ,Scotland,,,William
Boddam John ,,,,John
Wall Michael,,,,Michael
Markham Peter,,,,Peter
Mellis James , Aberdeen,,m 18 Jan 1810 Calcutta= Elizabeth Masterton,James
Carleton Samuel,,,,Samuel
Wilsford Thomas James Buckley,,,,Thomas
Hipkiss John C,,,,John
Pycroft Robert,,,,Robert
O'Neill _?_,,,,_?_
Shewell Charles,,,,Charles
Wilshaw Jonah,,,,Jonah
Fenwick William,,,,William
Coles John Batt ,,,,John
Snow Robert,,,,Robert
Hudson Smith ,,,,Smith
Auber Henry Peter,England,,,Henry
Boulton Richard,,,,Richard
Weyburgh Thomas,,,,Thomas
Gilchrist Frederick ,,,,Frederick
Craikenthorp George ,,,,George
Mathews Charles ,,,,Charles
Halhed Francis , Yately Hants,esq,,Francis
Paterson David,,,,David
Mason John ,,,,John
Nisbet James,,,,James
Daniell or Daniel Thomas Brown , England,,,or
Mclntosh C C ,,,,C
Whitehorne William,,,,William
Carmick William,,,,William
Rogers G A,,,,G
Blair John,,,,John
Charaock John,,,,John
Wenham James,,,,James
Winacott _?_,,,,_?_
Rymer Edward , St Martin_in_the_Fields. London,,,Edward
Walton John ,,,,John
Yule George,,,,George
Hewett Samuel,,,,Samuel
Finch Anthony,,,,Anthony
Jenkins Edward Francis,,,,Edward
Grant Thomas,,,,Thomas
Johnstone Alexander,,,,Alexander
Sibbald John,,,,John
Scott William , Scotland,teacher of English,,William
Boulton Henry Edward , Christ Church Surrey,,,Henry
Ingram Charles , England,,m 10 Jun 1826 St Pancras= London= Ann Eastmond Bridger Charles Eastmond b 30 Apr 1827,Charles
Cornish Samuel,,,,Samuel
Atkins Walter,,,,Walter
Hodge Alexander,,,,Alexander
Brodie Charles,,,,Charles
Allen George,,,,George
Lee William , St James's Piccadilly London,,,William
Shoolbread John ,,,,John
Roach Morris,,,,Morris
Winter Nehemiah sen,,,,Nehemiah
Hitchman James,,,,James
Creighton Thomas,,,,Thomas
Aldham Thomas Wedlock,,,,Thomas
Bolton John,,,,John
Lyne Ethelbert , Moortown Ringwood Hants,,,Ethelbert
Jennier George ,,,,George
Deschamps Augustin,,,,Augustin
Valance James,,,,James
Holme James John,,,,James
Leathley John,,,,John
Kerr Robert,,,,Robert
Hotson John ,,, m 13 Nov 1798 St Clement Danes= London= Mary Field= of Norwich,John
Tonge Robert ,,,,Robert
Mitchell Thomas,,,,Thomas
Gascoigne Evelyn John , Rippingale Lanes,,,Evelyn
Sayers Samuel,,,,Samuel
Barlow Henry , Derby,,,Henry
Richardson Benjamin , St Anne's Soho London,capt,,Benjamin
Jones Rowe , Highgate Chapel London,gent,,Rowe
Lindsay Francis,,,,Francis
Baker Sampson,,,,Sampson
Wright Richard ,England,,,Richard
Ozler Bernard,,,,Bernard
Munro Robert,,,,Robert
Leighton Thomas,,,,Thomas
Pye Robert,,,,Robert
Spentley William,,,,William
MacFarlane John,,,,John
Allison James,,,,James
Bottomley Joseph , Stilton Hunts,,,Joseph
Moore Alexander James (1785_, Dublin,,,Alexander
Floyer William ,,,,William
Hicks Francis ,England,,,Francis
Bigg John,,,,John
Thompson John,,,,John
Burni Benjamin , St Botolph's pa Aldgate London,,m 27 Mar 1806 Mary; she petitioned Poplar Fund 1818= six children,Benjamin
Wimble John,,,,John
Dorrett William Carling,,,,William
Burbidge Thomas ,,,,Thomas
Browne Zachary,,,,Zachary
Weld Richard,,,,Richard
Deering Henry,,,,Henry
Attwood Zachary,,,,Zachary
Hammond Henry,,,,Henry
Barkley Charles William ,England,,,Charles
Ledger Edward ,England,,,Edward
Higden Edward,,,,Edward
Balderston Thomas Francis , England,,,Thomas
Raymond John,,,,John
Smith Benjamin,,,,Benjamin
Hathaway Thomas,,,,Thomas
Clarke Hugh,,,,Hugh
Herbert John ,,,,John
Bromley John,,,,John
Barroll William,,,,William
Dent James ,,,,James
Muirhead James , Glasgow,,,James
Nalton John,,,,John
Pitcher Andrew,,,,Andrew
Moore William,,,,William
Spencer Thomas,,,,Thomas
Ayton Richard,,,,Richard
Richards Charles,,,,Charles
Parish J R,,,,J
Kincaid Alexander,,,,Alexander
Richards James,,,,James
Rattray Charles,,,,Charles
Shearman Thomas , England,,,Thomas
Pope William Havens , Gt Staughton Hunts,rev,,William
Shilling John ,,,,John
Thompson Robert,,,,Robert
Porteous J E,,,,J
Houghton James,,,,James
Wilkinson James,,,,James
Matson J,,,,J
Miller James ,Scotland,,,James
Brice Charles Key,,,,Charles
Born Francis,,,,Francis
Andrews John,,,,John
Leslie Ludovic , St Paul's Chapel Aberdeen,,,Ludovic
Panton John,,,,John
Howard Edward,,,,Edward
Morgan William,,,,William
Merryhurst John,,,,John
Wilmot Edward,,,,Edward
Hoil John,,,,John
Godwin Joseph,,,,Joseph
Baynham Edmund,,,,Edmund
Marley Joseph ,,,,Joseph
Bradford Joseph Garland ,,,,Joseph
Wallis Bagnal,,,,Bagnal
Newell Charles Hazelll , St Mary_at_the_Wall. Colchester,,,Charles
White Andrew,,,,Andrew
Lawler Henry,,,,Henry
Bullock Henry ,,,,Henry
Sabber or Sabbin Edward,,,,or
Forth James,,,,James
Skeffington Joseph ,,,,Joseph
Rush Henry , Heckfield Hants,,,Henry
Sowton Thomas,,,,Thomas
Oliphant Charles,,,,Charles
Battory Henry,,,,Henry
Lloyd Griffith,,,,Griffith
Burrell Charles,,,,Charles
Biggs Henry,,,,Henry
Lowen William , All Saints Canterbury,,,William
Mayne Robert,,,,Robert
Black John , Tweedmouth co Durham,,,John
Williamson James , St Dunstan_in_the_West London,,,James
Savage George,,,,George
White John,,,,John
Garth George,,,,George
Clark Hugh ,,,,Hugh
Hunt Charles,,,,Charles
Milner William,,,,William
Mortlock James,,,,James
Sherwin David ,,,,David
Lafkin John,,,,John
Nimo Patrick,,,,Patrick
Franklin Michael N,,,,Michael
Jolly John,,,,John
Haines Robert ,,,,Robert
Furley John,,,,John
Clark David,,,,David
Rea _?_,,,,_?_
Gallon John ,,,,John
Gorst Samuel ,Scotland,,,Samuel
Ivory Patrick ,,,,Patrick
Clough Edward , St Helen's York,,,Edward
Wynn Eubule,,,,Eubule
Lynch T,,,,T
Darley John,,,,John
Roberts George , St Margaret's Westminster,,,George
Hodges William,,,,William
Stewart Francis Goddard,,,,Francis
Harrington Joseph , St George's Bloomsbury London,,,Joseph
Stodart Murray,,,,Murray
Rhys Watkin,,,,Watkin
Chadsley Richard,,,,Richard
Bierworth Frederick ,St Marylebone London,,,Frederick
Lister John , St Marylebone London,,,John
Burnley James,,,,James
Fielding M S,,,,M
Macaulay Samuel Heyrick , Rothley Leics,rev,,Samuel
Harris Francis,,,,Francis
Sarson Charles,,,,Charles
Goodall Bartholomew,,,,Bartholomew
Lougher Robert,,,,Robert
Cumyns Richard , St George's Hanover Sq London,,,Richard
Cookson Isaac,,,,Isaac
Perch John,,,,John
Dunbar Alexander , Halkirk Caithness,,,Alexander
Wishart William,,,,William
Elliot George,,,,George
Milne Thomas,,,,Thomas
Rickards William ,,,,William
Cooke Christopher,,,,Christopher
Taverner Edward J,,,,Edward
Donaldson Robert,,,,Robert
Wharton Thomas,,,,Thomas
Brewer John ,,,,John
Howard William,,,,William
MacCraken John ,,,,John
Avery Daniel,,,,Daniel
Warner Walter,,,,Walter
Chancy Nicholas,,,,Nicholas
Evans Andrew,,,,Andrew
Worth Philip,,,,Philip
Noble Robert,,,,Robert
Sayer George Augustine ,  St John's Thanet Kent,,,George
Oxenham Hugh ,England,,,Hugh
Mclver David ,Scotland,,,David
Edgecumbe Leonard ,,,,Leonard
Peterson James,,,,James
McMillan Iver , South End Kilblan Argyll,,,Iver
Hawkins William,,,,William
Wordie John ,,,,John
Butter John Scott , Fort William Inverness,,,John
Franklin Burbrough ,,,,Burbrough
Muschet Peter,,,,Peter
Walker Henry , Eye Suffolk,,,Henry
Rickett John , England,,,John
Hopkins Thomas ,,,,Thomas
McNeill Forbes , Scotland,,,Forbes
Holworthy Henry,,,,Henry
Livingstone William,,,,William
Davis George,,,,George
Kerr James,,,,James
Hayter George,,,,George
Dunn David,,,,David
Harmsworth William , Newbury Berks,,m 26 Aug 1820 Calcutta= Eliza Henrietta Padwick,William
Tracey John,,,,John
Farrer Henry ,Yorkshire,,,Henry
Rigby Charles,,,,Charles
Owen Samuel,,,,Samuel
Cree Giles,,,,Giles
McTaggart Malcolm,,,,Malcolm
Stemdale Henry M , England,,,Henry
Josh John,,,,John
Watson Charles ,,,,Charles
White Joseph,,,,Joseph
Schneider Richard ,,,,Richard
Aitken Thomas,,,,Thomas
Cook John,,,,John
Lord Benjamin Berry , St Stephen's by Launceston Cornwall,,m 24 Jun 1816 Westbury_upon_Trim= Glos= Elizabeth Broughall Benjamin Berry b 17 May 1818 Sarah b 30 Jul 1820 Anneb 11 Mar 1822. George b 12 May 1827,Benjamin
Scott P,,,,P
Chapman Henry Cleaver,,,,Henry
Brodie Thomas,,,,Thomas
Lacon William Stirling , Southtown Suffolk Gt Yarmouth,,,William
Smith Josias,,,,Josias
Gardiner George,,,,George
Clapp Elias,,,,Elias
Dark Daniel,,,,Daniel
Lefroy Charles,,,,Charles
Roy Daniel Thomas,,,,Daniel
Robertson Edward ,Scotland,,,Edward
Bower Thomas,,,,Thomas
Sledge Edward,,,,Edward
Clarke James ,Scotland,,,James
Hamilton James,,,,James
Wilkinson John , England,,,John
Ennson David,,,,David
Pawson John,,,,John
Westcott Foss,,,,Foss
Frayer James,,,,James
Hambley Thomas,,,,Thomas
Wilcock George,,,,George
Cromartie James,,,,James
More Charles , St Cuthbert's pa Edinburgh,Royal Bank ,,Charles
Stuart or Steuart James William , Whitchurch Dorset,,,or
Greaves Thomas,,,,Thomas
Mitchell John,,,,John
Gentleman Walter , pa St Chad's Shrewsbury,rev,,Walter
Hewett Thomas,,,,Thomas
Cleghorn David ,,,,David
Abrams Charles,,,,Charles
McCay James,,,,James
Kurd Robert Stokes , London,,,Robert
Paterson or Patterson John , London,,,or
Webb Edward ,Scotland,,,Edward
Shore Thomas,,,,Thomas
Lethieullier Manning,,,,Manning
Acton John,,,,John
Stone Andrew,,,,Andrew
Ebert William,,,,William
Peirce Peter Safifyn ,,,,Peter
Woollen Richard,,,,Richard
Biles Benjamin,,,,Benjamin
Oakes Henry,,,,Henry
Sherrard John,Durham,,,John
Grantham Caleb ,,,,Caleb
Pigou Peter , St Marylebone London,,,Peter
Gower Simon,,,,Simon
Killen Robert,,,,Robert
Barclay Archibald Campbell , Kettle Fife,,,Archibald
Hogan Charles,,,,Charles
Esdaile Benjamin,,,,Benjamin
Penruddock John Hungerford,,,,John
Lyon John Wallace,,,,John
May Charles,,,,Charles
Hardcastle John,,,,John
Graham Charles, Cameron Fifeshire,,m 2 Jan 1805 St Pancras= London= Jane Brown Charles b 11 Dec 1805= John b 6 May 1808= William Henry b 1 Jul 1810= Margaret b 14 Jul 1813= James b 5 May 1817= Katharine b 5 Oct 1821,Charles
Caper Alexander,,,,Alexander
Covell Matthew,,,,Matthew
Micklefield Richard ,,,,Richard
Taylor Alexander,,,,Alexander
Whiston Thomas H,,,,Thomas
Bell James,,,,James
Wrigglesworth William,,,,William
Stonhouse Edward , Clifton Glos,rev,,Edward
Blakely or Blakeley William Rix,,,,or
Newte Thoma ,,,,Thoma
Martin Malachi,,,,Malachi
Wiseman William,,,,William
Hudson Thomas , Richmond Surrey,,,Thomas
Medford Robert,,,,Robert
Kidd Charles,,,,Charles
Pegion Lawrence,,,,Lawrence
Elliots James,,,,James
Eilbeck John MacCulloch,,,,John
Cottle William ,,,,William
MacVeagh James,,,,James
Harrison David ,,,,David
Wyllie William , Marykirk Kincardine,,,William
Ely Jacob,,,,Jacob
Warren R J,,,,R
Parker James,,,,James
Trefusis William,,,,William
Richardson George jun,,,,George
Mackett Henry,,,,Henry
Polstead Henry,,,,Henry
Reade Lewin , Bridewell Hospital London,,,Lewin
Murray H,,,,H
Dore David ,,,,David
Mills William , Farnham Dorset,,,William
Farrent Nicholas,,,,Nicholas
Adams Peter,,,,Peter
Carr Henry T,,,,Henry
Bootle Matthew ,,,,Matthew
Hay Robert , Hopps East Lothian,,,Robert
Eales William,,,,William
Whittle Robert,,,,Robert
Carr William,,,,William
Smith Alexander,,,,Alexander
Wyche John,,,,John
Bellamy Leonard,,,,Leonard
Lawrence Christopher ,,,,Christopher
Starie Joseph,,,,Joseph
Malack Newman,,,,Newman
Haynes William ,,,,William
Walton James,,,,James
Ratcliffe William,,,,William
Nelson Bartholomew,,,,Bartholomew
Dampier Edward,,,,Edward
Throgmorton Gilliam,,,,Gilliam
Gordon George , Madras,,,George
Martin Nathaniel,,,,Nathaniel
White Abraham ,,,,Abraham
Patterson John,,,,John
Golden William Henry ,,,,William
Bovey Isaac,,,,Isaac
Lawes Abraham ,,,,Abraham
Rattray George ,,,m 5 Apr 1825 St Ninian's= Mary Anne Forrester,George
Waller Mathew,,,,Mathew
Leader James,,,,James
Bird Henry ,England,,,Henry
Hardy Edward ,,,,Edward
Thompson Humphrey,,,,Humphrey
Kennedy William , St Columb's Londonderry,esq,,William
Mowbray John,,,,John
Locke John , St Bartholomew the Great London,,,John
Blow Thomas,,,,Thomas
Forster Robert ,,,,Robert
Hume Joseph ,,,,Joseph
Briers John,,,,John
Stokoe William , Acomnr Hexham Northumberland,,,William
Stewart Thomas,,,,Thomas
Smale Lewis,,,,Lewis
Ewers Roger,,,,Roger
Sharp John ,,,,John
Lignum John,,,,John
Mackleraith Hugh,,,,Hugh
Collins Rev George,,,,Rev
Stormouth John,,,,John
Gorbold John,,,,John
Reynolds Nathaniel,,,,Nathaniel
Whatley Joseph L,,,,Joseph
Woodford Mead,,,,Mead
Benyon Richard,,,,Richard
Cross George ,England,,,George
Carpenter David,,,,David
Agassiz Lewis Stanislaus ,England,,,Lewis
Rolls John,,,,John
Bull James,,,,James
Ettrick William,,,,William
Robert William ,,,,William
McCosb James W , Dalrymple,merchant,,James
Howard William John,,,,William
Jardine William,,,,William
Randall Benjamin,,,,Benjamin
Staines Thomas ,,,,Thomas
Ferron William,,,,William
Mayo James ,England,,,James
Tregurtha Edward P,,,,Edward
Littlewood Samuel,,,,Samuel
Bishop James Thomas,,,,James
Lange Torben,,,,Torben
Donaldson Stuart,,,,Stuart
Sandlane Robert,,,,Robert
Bell Alexander ,,,,Alexander
Packman Thomas,,,,Thomas
Keen Joseph,,,,Joseph
Steward Francis,,,,Francis
Norris Joseph ,,,,Joseph
Youle James ,,,,James
Weston T C,,,,T
Harris William,,,,William
Hardcastle William ,England,,,William
Shepheard Edward Alexander (cl810_), St George the Martyr London,,,Edward
Willcocks George , St James' Clerkenwell London,,,George
Lambert J H,,,,J
Riches Matthew , Woodbridge Suffolk,,,Matthew
Bolton Francis,,,,Francis
Colleson Jacob,,,,Jacob
Rogers Robert,,,,Robert
Fairbank Michael C,,,,Michael
Spicer Philip,,,,Philip
Bromfield Charles ,,,,Charles
Harper Alexander jun,,,,Alexander
Penny J D,,,,J
Phipps William Henry,,,,William
Shewell William (Thomas ?),,,,William
Smith Kennard , St Saviour's Southwark,,,Kennard
Calcott Richard ,,,,Richard
Booth George,,,,George
Gillett William,,,,William
Larkins John Pascal ,England,,,John
Pidding John Rhodes, England,,,John
Copestake Stephen , Uttoxeter Staffs,,,Stephen
Maddox Richard , St Sepulchre's London,,,Richard
Dale John , Berwick_on_Tweed,,,John
Maule Patrick,,,,Patrick
Eastgate Stephen,,,,Stephen
Meadows Dixon ,reg Dr Williams's Library London,,,Dixon
Bowen Thomas,,,,Thomas
Kitchens William,,,,William
Fawdon Henry,,,,Henry
Maflin William,,,,William
Betham Charles Thomas , Shadbrook Suffolk,,,Charles
Arthurton J Arthur,,,,J
Carruthers Samuel ,,,,Samuel
Ley William ,,,,William
Ward William,,,,William
Holton Henry George , St Marylebone London,,,Henry
Bayley George,,,,George
Boucher Benjamin,,,,Benjamin
Norbury Nicholas,,,,Nicholas
Grant Henry , Dublin,writer,,Henry
Aitchison H,,,,H
Hillier William ,,,,William
Bean James ,,,,James
Field HP,,,,HP
Franks Henry,,,,Henry
Hazlewood John,,,,John
Lamb Richard,,,,Richard
Crispe Nicholas,,,,Nicholas
Ballantyne Hugh,,,,Hugh
Bland John,,,,John
Frost George,,,,George
