name, birth_loc, pocc, marriage, lastname
Millett Henry , Lansallos Cornwall,rev,m 24 Nov 1834 St Hilary= Cornwall= Mary Anne Turner of Marazion,Henry
Warren Thomas,,,,Thomas
MacDonald William,,,,William
Handy Hugh,,,,Hugh
Ford Henry William ,,,,Henry
Herbert William,,,,William
Watson John.,,,,John.
Walker William Harrison , Milton_next_Sittingbourae Kent,,,William
Alexander George,,,,George
Back Edward ,,,,Edward
Gardiner Martin,,,,Martin
McFarlane Alexander,,,,Alexander
Ashton Edward,,,,Edward
Marshall David,,,,David
Hepworth Brodie ,,,m 20 May 1783 St Martin_in_the_Fields= London= Ann Fortescue (she re_m 13 Dec 1800 St Clement Danes= London= John Taylor= Esq= widwr= who d 1832),Brodie
Love William,,,,William
Dickens Thomas,,,,Thomas
Pascoe William , Madron Penzance,,,William
Halcott Thomas,,,,Thomas
Dickinson John,,,,John
Short William ,Scotland,,,William
Ludlow Matthew ,,,,Matthew
Pearkes Thomas,,,,Thomas
Ballantyne Andrew,,,,Andrew
Harman Thomas,,,,Thomas
Adams Frederick ,Calcutta,,,Frederick
Osburn William,,,,William
Billiter Edward,,,,Edward
Vinnicombe Edward,,,,Edward
Shubrick Charles , St George's Bloomsbury London,,,Charles
Passebose John ,,,,John
Cornelison Benjamin,,,,Benjamin
Sargant R,,,,R
Weale Edward,,,,Edward
Rennie David,,,,David
Butticaz Philip , Harrow Middx,,,Philip
Ryan William,,,,William
Anthony Henry , England,,,Henry
Sampson David , Parham Suffolk,,,David
Warham Mallory,,,,Mallory
Werge George,,,,George
McTavish Duncan C ,,minister,,Duncan
Cairns Thomas,,,,Thomas
Kay Brook , Montreal Canada,,,Brook
Ap Rice John,,,,Rice
Hoimsell Richard,,,,Richard
Lewis Alexander,,,,Alexander
Burrell Thomas,,,,Thomas
Cruso Thomas ,,,,Thomas
Berkeley Alexander ,,,,Alexander
Catline William,,,,William
Matthews Francis Seymour , Kensington London,,m 25 Dec 1815 Calcutta= Dorothy Ann Torckler,Francis
Birtwhistle John,,,,John
Bally John,,,,John
Canney Edward,,,,Edward
Smith Nicholas,,,,Nicholas
Baker Thomas , England,,,Thomas
Barlow James,,,,James
Campbell William Rankin , Minard Argyle,esq,,William
Newton Charles,,,,Charles
Middleton Josiah,,,,Josiah
Menzies Charles ,,,,Charles
Foreman George,,,,George
Hawkey Lewis Stephens ,England,,,Lewis
Winston William,,,,William
Carstairs Peter,,,,Peter
Silver Adam , Netherley Mearns East Renfrew,,,Adam
Leeming Joseph ,,,,Joseph
Wilkinson Richard Thomas , St Luke's Chelsea Middx,,,Richard
Dennett Thomas,,,,Thomas
King Jonathan ,,,,Jonathan
Bayley John ,,,,John
Sharpe John ,,,,John
Legg James,,,,James
Deal Andrew,,,,Andrew
Farrer William Ward , St Stephen's Walbrook London,,,William
Watson Gabriel,,,,Gabriel
Davids John William Henry , Fort George Inverness,,,John
Willing John,,,,John
Breakes Jonathan ,,,,Jonathan
MacAdam William,,,,William
Green Joseph ,,,,Joseph
Goodman Thomas,,,,Thomas
Priddy James,,,,James
Thomas James ,England,,,James
Appleton Richard ,,,,Richard
Carver Daniel,,,,Daniel
Hatton Richard,,,,Richard
Clement Henry , England,,,Henry
White George,,,,George
Miles Richard,,,,Richard
Elsey James,,,,James
Lewinge Charles,,,,Charles
Pearce Samuel ,England,,,Samuel
Johns John,,,,John
Pulham John,,,,John
Cuddy Simon,,,,Simon
Hayes Robert,,,,Robert
Mash Robert Abbon , Gt Yarmouth,,,Robert
Bundock John,,,,John
Foss Humphrey,,,,Humphrey
Burnett Hugh ,,,,Hugh
Featherstonhaugh George,,,,George
Pascall Henry ,England,,,Henry
Williams Joseph , St Marylebone London,,,Joseph
Watson Edward,,,,Edward
Winn William Clinton ,,,,William
Ayscough Gabriel ,,,,Gabriel
Moseley Francis,,,,Francis
Parry Richard,,,,Richard
Bennett John ,,,,John
Griffith Thomas , St Mary's Tenby Pembrokeshire,,,Thomas
Charcroft Theophilus,,,,Theophilus
Lloyd Thomas,,,,Thomas
Firmin Giles,,,,Giles
Walker Frederick T,,,,Frederick
Blunt Richard,,,,Richard
Meason John Young,,,,John
Tovey Zachariah jun,,,,Zachariah
Tulloch Alexander,,,,Alexander
Diysdale William C,,,,William
White John Chambers ,America,,,John
Oliver John,,,,John
Hockett Robert,,,,Robert
Blundell William ,,,,William
Hay Edward Legge ,Scotland,,,Edward
Minty William ,,,,William
McDowall James ,,,,James
Treadway John,,,,John
Clemens Isaac,,,,Isaac
Jones Lewis,,,,Lewis
Winchurst William,,,,William
Byers John,,,,John
Cockburn John,,,,John
Hippon Anthony ,,,,Anthony
Seward William ,Jersey,,,William
Beckford Posthumous,,,,Posthumous
Speke Henry,,,,Henry
Holmes Sparkes ,England,,,Sparkes
James Charles Henry , Oundle Northants,rev,,Charles
Barry Henry ,,,,Henry
Phillips Thomas,,,,Thomas
Wilson John Petre ,  Stoke_next_Guildford Survey,,,John
Le Cocoq Thomas,,,,Cocoq
Falkinson James,,,,James
Osmond John,,,,John
Phinney George ,,,,George
Newnham Thomas,,,,Thomas
Durham William,,,,William
Arthur Robert,,,,Robert
Burroughs James ,,,,James
Kennedy John , Traquair Peebles,,,John
Calverley James ,,,,James
Mountford Walter,,,,Walter
Morsom George ,,,,George
Weston Michael,,,,Michael
Franck JC ,,,,JC
Skottowe John , England,,,John
Holding Edward,,,,Edward
Helder Charles ,,,,Charles
Hudson Robert,,,,Robert
Thomson or Thompson David ,,,,or
Heurtley Abel,,,,Abel
Norris George , St Mary's Lambeth Surrey,,,George
Rennie Thomas , Prestonkirk East Lothian,esq,,Thomas
Vicary John,,,,John
Young S,,,,S
Thomson William,,,,William
Tyrer William,,,,William
Cock Frederick R,,,,Frederick
Copland Rev Patrick,,,,Rev
Richie John,,,,John
Williams Joseph Goddard , Shrewsbury,,m 31 Aug 1812 St George's= Hanover Sq= London= Sarah Nixon= wid Herbert bap 1 Oct 1813,Joseph
Jackson Abraham ,,,,Abraham
Knox George,,,,George
Justice William,,,,William
Moreton Edmund ,,,,Edmund
Alexander James ,,,,James
Rhind Robert Hunter , Whitburn,rev,,Robert
Coupar Andrew ,,,,Andrew
Harrison Thomas , Shalford [Essex?],,,Thomas
Fenwick Tristram,,,,Tristram
Blackburn George ,St John's Thanet Kents,,,George
Robinson George ,England,,,George
Greenhill Charles ,,,,Charles
Griffin Daniel,,,,Daniel
Oliver William , Ipswich Suffolk,,,William
Maddox Charles ,,,,Charles
Kent John,,,,John
Dorin Joseph , St Leonard's Shoreditch London,,,Joseph
Creighton Mungo,,,,Mungo
Tobin James,,,,James
Jackson Joseph ,,,,Joseph
Kennedy George Crookshank , Donagh co Donegal,,,George
Crawford John ,,,,John
Francken Charles William , Sweden,,,Charles
Walker Thomas ,England,,,Thomas
