id, name
332,Corbynpo Joseph
333,Corner Isaac
334,Corner John
335,Cotton Charles Bowland
336,Cotton John
337,Cotton Joseph
338,Court Jonathan
339,Court Matthew
340,Court Thomas Watken
341,Courthope Nathaniel
342,Cowles Jacob
343,Cowper George
344,Coxon John
345,Coxwell Edward
346,Coxwell James
347,Coytmore Rowland
348,Crabb James George
349,Crabb Richard
350,Craddock John
351,Cragie John
352,Craig John
353,Craig Milliken
354,Craigie John
355,Cranstoun John
356,Creswell Francis
357,Cribb John
358,Crichton Thomas
359,Crihton James
360,Cristall John
361,Cromartie James
362,Crompton William
363,Cross John
365,Crowther William
366,Cruickshank John
367,Cruickshank William
368,Cumberlege Altham
8562,Norway Neville
371,Cumine Adam
372,Cuming Alexander
373,Cumming Edward
374,Cumming George
375,Cumming Robert
376,Cummings Robert
377,Curling Robert
378,Curtis Anthony
379,Curtis George
380,Cush Nathaniel
381,D'Abbadie Francis
382,Dale James
383,Dale John
384,Dalrymple James
385,Dalrymple Robert Stair
386,Dalrymple William H. C.
387,Dampier Edward
388,Asquith David
389,Dance Nathaniel jr
390,Daniell Edward M.
391,D'Auvergne Philip
392,Davis William James
393,Davison John
394,Dawes Abraham
395,Dawkins Jeremiah
396,Dawney Thomas
397,Deane Charles
398,Debuke Thomas
400,Delafons Thomas
401,Dempster John Hamilton
402,Atkins Thomas
403,Denis John
404,Dennett Thomas
405,Dennis Benjamin
406,Dennison Robert
407,Denniston William
408,Denny George
409,Denton Thomas
410,D'Esterre William Parker
411,Dethick Thomas
412,Dewar James
413,Dickenson Henry
414,Dixon George
415,Dobree John
8608,O'Hara Geoffre
417,Dodds Luke
418,Dominicus Abraham
419,Donaldson William
420,Dorin James
12358,White William Tyron
422,Dormer Thomas
423,Dorrell Richard
424,Dorrill Robert
425,Douglas George
426,Douglas Peter
427,Doves Cobham
428,Doveton Richard
429,Downton Nicholas
430,Drake James J.
431,Drake Richard
432,Driver Thomas
433,Drummond Adam
434,Drummond Andrews
435,Drummond Charles
436,Drummond Robert
437,Dudman Joseph
438,Duffield Henry
439,Duffin Robert
440,Dumbleton Thomas
441,Dunbar William Henry
442,Dundas Charles
443,Dundas George
444,Dundas James
445,Dundas Philip
446,Dundas Ralph
447,Dunkin Thomas
448,Dunlop Anthony
449,Dunlop David
450,Dunsford William
451,Durand John Jun
452,Earle William
453,Eastabrooke John
455,Eastfield Wm. John
456,Backwell Duncan
457,Eckford John
458,Edgecumbe Leonard
459,Edmeades William
460,Edwards James
461,Edwards John
462,Edwards Lewis Owen
463,Edwards Richard
464,Egerton William
465,Eggleston C.
466,Eglinton Anthony
467,Eilbreck B.
468,Elkington James
469,Elkington Thomas
470,Elliott Joseph
471,Ellis Edward Smith
472,Elliston Edmund
473,Elliston Edward
474,Elmore Henry Mathias
475,Elphinstone William
